func,prob,total_time,best_obj,best_bound,gap,preprocess_time,solution_time,callback_time,subproblem_time,callback_calls,num_separations,bb_nodes,num_variables,num_constraints,dp_num_nodes,dp_num_arcs,dp_num_paths,dp_unique_arcs,dp_unique_paths
cg2_l20_w00_c400,mssp3-n120-d15-04,66.3043262990719,1607.338663461539,1607.338663461539,0.0,0.007037166,66.2972891330719,65.27228496700002,65.042748297,153,141,249,620,1210,402,551,208.0,546,200
cg2_l20_w00_c400,mssp3-n120-d15-05,200.61888256581213,1668.6001545454546,1668.7001,5.989778574160779e-5,0.007754474,200.61112809181213,199.41552298400003,199.01805412900003,290,277,294,620,1243,402,684,393.0,682,386
cg2_l20_w00_c400,mssp3-n120-d20-01,32.92759072578015,1357.2001,1357.2000999999998,0.0,0.136259673,32.79133105278015,32.097324003,32.036183733,65,58,104,620,1525,402,460,74.0,460,74
cg2_l20_w00_c400,mssp3-n120-d20-02,83.6248667821416,1168.5001000000002,1168.5001000000002,0.0,0.041986762,83.5828800201416,82.816078302,82.66093615700004,141,131,121,620,1564,402,540,327.0,539,326
cg2_l20_w00_c400,mssp3-n120-d20-03,65.54020143698145,999.0000999999995,999.0000999999996,0.0,0.008995306,65.53120613098145,64.659271333,64.50661248899999,54,47,177,620,1598,402,453,118.0,452,94
cg2_l20_w00_c400,mssp3-n120-d20-04,63.995859415592896,1263.2335166666664,1263.2335166666664,0.0,0.008553536,63.987305879592896,62.78570373599998,62.689944935000014,97,87,337,620,1541,402,491,164.0,491,162
cg2_l20_w00_c400,mssp3-n120-d20-05,55.49799566290552,1267.3876374999998,1267.3876375,0.0,0.008832741,55.48916292190552,54.487885592,54.38473650200001,95,88,190,620,1535,402,490,91.0,489,90
cg2_l20_w00_c400,mssp3-n120-d30-01,47.04015922732727,965.9001999999998,965.9001999999998,0.0,0.107449295,46.93270993232727,45.81476087800002,45.75399288699999,70,60,238,620,2285,402,470,176.0,469,175
cg2_l20_w00_c400,mssp3-n120-d30-02,84.97934315275012,926.0001375000006,926.0001375000006,0.0,0.048408962,84.93093419075012,83.26039407600003,83.122956774,132,120,661,620,2258,402,521,122.0,521,122
cg2_l20_w00_c400,mssp3-n120-d30-03,91.64122832616724,794.4001000000002,794.4001000000002,0.0,0.024082311,91.61714601516724,90.18219053099996,89.94188358100004,128,118,434,620,2311,402,529,188.0,529,188
cg2_l20_w00_c400,mssp3-n120-d30-04,92.40301994122376,727.7001000000009,727.7001000000009,0.0,0.011878765,92.39114117622375,90.99428677599998,90.86590735000003,124,112,442,620,2281,402,515,130.0,515,130
cg2_l20_w00_c400,mssp3-n120-d30-05,84.45709787605065,727.4001000000005,727.4001000000005,0.0,0.024193871,84.43290400505066,82.99050028200001,82.89606513700001,89,80,431,620,2262,402,482,89.0,482,89
cg2_l20_w00_c400,mssp3-n140-d10-01,410.3262967434558,2171.9346749999995,2171.934675,0.0,0.101817545,410.2244791984558,406.8151644179999,406.46860524900006,235,225,902,656,1078,402,627,274.0,627,274
cg2_l20_w00_c400,mssp3-n140-d10-02,820.7083947915232,2018.1001000000017,2018.1001000000017,0.0,0.006679799,820.7017149925232,819.3940978180002,819.0064205609996,342,331,92,656,1149,402,751,842.0,750,841
cg2_l20_w00_c400,mssp3-n140-d10-03,391.6571761669504,2331.256642813765,2331.256642813765,0.0,0.006106049,391.65107011795044,390.9535116730001,390.809282029,133,126,62,656,1078,402,531,231.0,530,199
